ts,nomor_perkara,tgl_register,ketua,jenis,klasifikasi,mode_beban,beta,tau,L1,L2,gap,cooldown_reason,cd_days,non_cd_count,reset_after_save,cuti_hari_ini,cuti_tgl_rencana,under_cd_before,Lmax,Lmin
2025-10-22T11:22:01.773672,4596 Pdt.G/2025/PA.JT,2025-10-22,"Drs. Agus Abdullah, M.H.",GHOIB,CT,uniform,0.1,0.0,200.0,,,only_one_candidate,1,1,True,False,False,False,,
2025-10-22T11:26:18.171365,4597 Pdt.G/2025/PA.JT,2025-10-22,"Dra. Mulathifah, M.H.",Biasa,CG,uniform,0.1,2.1000000000000005,180.0,183.0,3.0,no_cd,1,7,False,False,False,False,,
2025-10-22T11:41:13.443664,855 Pdt.P/2025/PA.JT,2025-10-22,"Dra. Mulathifah, M.H.",ISTBAT,ISTBAT,uniform,0.1,2.0000000000000004,181.0,183.0,2.0,"streak,tau",1,7,False,False,False,False,,
2025-10-22T13:36:30.776231,4598 Pdt.G/2025/PA.JT,2025-10-22,"Idawati, S.Ag., M.H.",Biasa,CG,uniform,0.1,1.8000000000000005,183.0,194.0,11.0,no_cd,1,6,False,False,False,False,,
2025-10-22T13:37:10.254221,4598 Pdt.G/2025/PA.JT,2025-10-22,"Idawati, S.Ag., M.H.",Biasa,CG,uniform,0.1,1.7000000000000004,184.0,194.0,10.0,streak,1,6,False,False,False,False,,
2025-10-22T14:13:10.558050,856 Pdt.P/2025/PA.JT,2025-10-22,"Drs. Sohel,S.H.",Biasa,Dispensasi,uniform,0.1,0.7000000000000002,194.0,196.0,2.0,tau,1,5,False,False,False,False,,
2025-10-22T15:01:19.448299,857 Pdt.P/2025/PA.JT,2025-10-22,"Idawati, S.Ag., M.H.",Biasa,Lain-Lain,uniform,0.1,0.7000000000000002,194.0,196.0,2.0,"streak,tau",1,5,False,False,False,False,,
2025-10-22T15:01:58.109361,4600 Pdt.G/2025/PA.JT,2025-10-22,"Dra. Taslimah, M.H.",Biasa,CT,uniform,0.1,0.7000000000000002,194.0,196.0,2.0,"streak,tau",1,5,False,False,False,False,,
2025-10-22T15:02:36.507338,4601 Pdt.G/2025/PA.JT,2025-10-22,"Drs. Ifdal, S.H.",Biasa,CG,uniform,0.1,0.5000000000000001,196.0,199.0,3.0,no_cd,1,4,False,False,False,False,,
2025-10-22T15:03:32.989556,4602 Pdt.G/2025/PA.JT,2025-10-22,"Drs. Ifdal, S.H.",Biasa,CG,uniform,0.1,0.4000000000000001,197.0,199.0,2.0,"streak,tau",1,4,False,False,False,False,,
2025-10-23T09:51:55.190432,858 Pdt.P/2025/PA.JT,2025-10-23,"Dra. Mulathifah, M.H.",Biasa,PAW,uniform,0.1,1.0000000000000002,55.0,57.0,2.0,no_cd,1,6,False,False,False,False,,
2025-10-23T09:52:09.001132,859 Pdt.P/2025/PA.JT,2025-10-23,Drs. H. Syakhrani,Biasa,Lain-Lain,uniform,0.1,0.8000000000000002,57.0,59.0,2.0,no_cd,1,5,False,False,False,False,,
2025-10-23T09:55:14.057443,tes Pdt.G/2025/PA.JT,2025-10-23,Drs. H. Syakhrani,Biasa,CG,uniform,0.1,0.6000000000000001,59.0,59.0,6.0,no_cd,1,4,False,False,False,False,,
2025-10-23T09:59:00.480227,4603 Pdt.G/2025/PA.JT,2025-10-23,"Dra. Mulathifah, M.H.",Biasa,CT,uniform,0.1,0.9000000000000001,56.0,58.0,9.0,no_cd,1,6,False,False,False,False,,
2025-10-23T10:13:35.439143,859 Pdt.P/2025/PA.JT,2025-10-23,Drs. H. Syakhrani,Biasa,Lain-Lain,uniform,0.1,0.7000000000000002,58.0,,7.0,no_cd,1,5,False,False,False,False,65.0,58.0
2025-10-23T10:25:05.750871,tes Pdt.G/2025/PA.JT,2025-10-23,Drs. H. Syakhrani,Biasa,CG,uniform,0.1,0.6000000000000001,59.0,,6.0,no_cd,1,4,False,False,False,False,65.0,59.0
2025-10-23T10:43:24.477632,4604 Pdt.G/2025/PA.JT,2025-10-23,"Drs. Agus Abdullah, M.H.",Biasa,CT,uniform,0.3999999999999999,2.4,59.0,,6.0,streak,1,4,False,False,False,False,65.0,59.0
